CODE,Grade,InPerson,Total_students,zipcode,Capacity,start_date,end_date
411769000127,PREK,2.8000000000000003,6,009241,0.46666666666666673,2021-02-15,2021-03-05
311769000866,PREK,32.4,2,009215,1,2021-02-15,2021-03-05
311001010781,PREK,6.4,43,008528,0.14883720930232558,2021-02-15,2021-03-05
311001107467,PREK,4.4,10,004628,0.44000000000000006,2021-02-15,2021-03-05
311001000034,PREK,4.6000000000000005,47,004557,0.09787234042553193,2021-02-15,2021-03-05
311001101213,PREK,1,21,002310,0.047619047619047616,2021-02-15,2021-03-05
311001097496,PREK,3.2,27,001321,0.11851851851851852,2021-02-15,2021-03-05
311001002452,PREK,0.8,2,008503,0.4,2021-02-15,2021-03-05
311001004021,PREK,3.4000000000000004,23,009113,0.14782608695652175,2021-02-15,2021-03-05
311001002428,PREK,3.6,46,008312,0.0782608695652174,2021-02-15,2021-03-05
311001050317,PREK,4,41,009206,0.0975609756097561,2021-02-15,2021-03-05
311001109168,PREK,5.6000000000000005,46,006504,0.12173913043478261,2021-02-15,2021-03-05
311848000812,PREK,29.400000000000002,38,008404,0.7736842105263159,2021-02-15,2021-03-05
311848000596,PREK,0.6000000000000001,5,009140,0.12000000000000002,2021-02-15,2021-03-05
311001000735,PREK,8.200000000000001,101,008530,0.0811881188118812,2021-02-15,2021-03-05
311769000165,PREK,47,40,009214,1,2021-02-15,2021-03-05
311848000341,PREK,39.400000000000006,4,008503,1,2021-02-15,2021-03-05
311001102783,PREK,17.8,54,004605,0.32962962962962966,2021-02-15,2021-03-05
311001800171,PREK,2.4000000000000004,51,008510,0.04705882352941177,2021-02-15,2021-03-05
311848002262,PREK,20,13,008401,1,2021-02-15,2021-03-05
311001089001,PREK,0,15,006508,0,2021-02-15,2021-03-05
311001045160,PREK,17.2,12,009139,1,2021-02-15,2021-03-05
311001000361,PREK,0,24,004538,0,2021-02-15,2021-03-05
311001107556,PREK,0.6000000000000001,34,008537,0.017647058823529415,2021-02-15,2021-03-05
311001041806,PREK,3.4000000000000004,27,004530,0.12592592592592594,2021-02-15,2021-03-05
311001006423,PREK,7.4,57,004518,0.1298245614035088,2021-02-15,2021-03-05
311001041407,PREK,14.200000000000001,41,006508,0.3463414634146342,2021-02-15,2021-03-05
311001004072,PREK,9,57,007302,0.15789473684210525,2021-02-15,2021-03-05
311001088608,PREK,8.6,64,002404,0.134375,2021-02-15,2021-03-05
411769000895,PREK,20.400000000000002,31,009265,0.6580645161290323,2021-02-15,2021-03-05
311001080313,PREK,0,31,008519,0,2021-02-15,2021-03-05
311001007632,PREK,11.200000000000001,17,009113,0.6588235294117648,2021-02-15,2021-03-05
311001036900,PREK,1.4000000000000001,40,004554,0.035,2021-02-15,2021-03-05
311001093253,PREK,3.2,10,002307,0.32,2021-02-15,2021-03-05
311001098603,PREK,3,25,004501,0.12,2021-02-15,2021-03-05
311001011460,PREK,4.4,40,009235,0.11000000000000001,2021-02-15,2021-03-05
311001047502,PREK,6,143,009226,0.04195804195804196,2021-02-15,2021-03-05
311848000481,PREK,6.800000000000001,11,008536,0.6181818181818183,2021-02-15,2021-03-05
311001105383,PREK,6.2,26,009136,0.23846153846153847,2021-02-15,2021-03-05
311001107581,PREK,3.8000000000000003,36,006301,0.10555555555555557,2021-02-15,2021-03-05
311001102821,PREK,11.8,37,001416,0.31891891891891894,2021-02-15,2021-03-05
311769000823,PREK,20.200000000000003,36,009113,0.5611111111111112,2021-02-15,2021-03-05
311001000981,PREK,3.8000000000000003,31,005308,0.12258064516129033,2021-02-15,2021-03-05
311001076316,PREK,0.8,24,004304,0.03333333333333333,2021-02-15,2021-03-05
311001019941,PREK,29.200000000000003,5,201110,1,2021-02-15,2021-03-05
311001027803,PREK,1,18,004502,0.05555555555555555,2021-02-15,2021-03-05
311001024898,PREK,2.4000000000000004,18,004202,0.13333333333333336,2021-02-15,2021-03-05
311769001846,PREK,12.4,6,009134,1,2021-02-15,2021-03-05
311001038244,PREK,1.2000000000000002,10,004206,0.12000000000000002,2021-02-15,2021-03-05
311769004292,PREK,9.4,17,009136,0.5529411764705883,2021-02-15,2021-03-05
311001002576,PREK,0.8,13,009136,0.06153846153846154,2021-02-15,2021-03-05
311001016607,PREK,1,15,004531,0.06666666666666667,2021-02-15,2021-03-05
311001089167,PREK,3.8000000000000003,30,004309,0.12666666666666668,2021-02-15,2021-03-05
311848000693,PREK,49.800000000000004,10,008525,1,2021-02-15,2021-03-05
311001002568,PREK,2.8000000000000003,3,004109,0.9333333333333335,2021-02-15,2021-03-05
311001102619,PREK,5,29,004209,0.1724137931034483,2021-02-15,2021-03-05
411001094661,PREK,36,84,107106,0.42857142857142855,2021-02-15,2021-03-05
311001076634,PREK,17.6,23,107102,0.7652173913043478,2021-02-15,2021-03-05
311848000278,PREK,76.2,28,107110,1,2021-02-15,2021-03-05
